a	ˈ aː
englandsmeistarar	ˈ ei ŋ k l a n t s m ˌ ei s t a r a r
englandsmeistaratitil	ˈ ei ŋ k l a n t s m ˌ ei s t a r a tʰ ɪ t ɪ l
englanna	ˈ ei ŋ l a n a
englar	ˈ ei ŋ l a r
englarnir	ˈ ei ŋ l a r t n ɪ r
englendinga	ˈ ei ŋ k l ɛ n t i ŋ k a
englendingar	ˈ ei ŋ k l ɛ n t i ŋ k a r
englendingarnir	ˈ ei ŋ k l ɛ n t i ŋ k a r t n ɪ r
englendinginn	ˈ ei ŋ k l ɛ n t i ɲ c ɪ n
englendingsins	ˈ ei ŋ k l ɛ n t i ŋ s ɪ n s
englendingum	ˈ ei ŋ k l ɛ n t i ŋ k ʏ m
englendingur	ˈ ei ŋ k l ɛ n t i ŋ k ʏ r
englendingurinn	ˈ ei ŋ k l ɛ n t i ŋ k ʏ r ɪ n
engli	ˈ ei ŋ l ɪ
english	ˈ ei ŋ l ɪ s
englum	ˈ ei ŋ l ʏ m
englunum	ˈ ei ŋ l ɔ n ʏ m
engra	ˈ ei ŋ k r a
engrar	ˈ ei ŋ k r a r
engri	ˈ ei ŋ k r ɪ
engu	ˈ ei ŋ k ʏ
engum	ˈ ei ŋ k ʏ m
enn	ˈ ɛ n
ennfremur	ˈ ɛ n f r ɛ m ʏ r
enni	ˈ ɛ n ɪ
ennið	ˈ ɛ n ɪ ð
ennþá	ˈ ɛ n θ au
ensk	ˈ ɛ n s k
enska	ˈ ɛ n s k a
enskan	ˈ ɛ n s k a n
enski	ˈ ɛ n s c ɪ
enskir	ˈ ɛ n s c ɪ r
enskra	ˈ ɛ n s k r a
enskri	ˈ ɛ n s k r ɪ
enskt	ˈ ɛ n s t
ensku	ˈ ɛ n s k ʏ
enskum	ˈ ɛ n s k ʏ m
enskumælandi	ˈ ɛ n s k ʏ m ˌ ai l a n t ɪ
enskunni	ˈ ɛ n s k ʏ n ɪ
enskur	ˈ ɛ n s k ʏ r
ensímtálmun	ˈɛ n s i m tʰ au l m ʏ n
enter	ˈ ɛ n̥ t ɛ r
entered	ˈɛ n̥ t ɛ r t
enterprise	ˈ ɛ n̥ t ɛ r̥ pʰ r ai s
enterprises	ˈ ɛ n̥ t ɛ r̥ pʰ r ai s ɛ s
entertainment	ˈ ɛ n̥ t ɛ r̥ tʰ ei n m ɛ n̥ t
entist	ˈ ɛ n̥ t ɪ s t
entry	ˈɛ n̥ t r i
epic	ˈ ɛ pʰ ɪ k
epla	ˈ ɛ h p l a
eplabúðin	ˈɛ h p l a p ˌu ð ɪ n
eplaforritið	ˈɛ h p l a f ˌɔ r ɪ t ɪ ð
eplasalati	ˈɛ h p l a s a l a t ɪ
eplatré	ˈ ɛ h p l a tʰ r j ˌ ɛ
eplatrén	ˈɛ h p l a tʰ r j ˌɛ n
epli	ˈ ɛ h p l ɪ
eplis	ˈ ɛ h p l ɪ s
eplið	ˈ ɛ h p l ɪ ð
epstein	ˈ ɛ p s t i n
equal	ˈ iː kʰ v a l
equity	ˈ ɛ k v ɪ t i
er	ɛː r
erdogan	ˈ ɛ r t ou k a n
erfa	ˈ ɛ r v a
erfidrykkju	ˈ ɛ r v ɪ t r ˌ ɪ h c ʏ
erfidrykkjuna	ˈɛ r v ɪ t r ˌɪ h c ʏ n a
erfingi	ˈ ɛ r v i ɲ c ɪ
erfingja	ˈ ɛ r v i ɲ c a
erfingjar	ˈ ɛ r v i ɲ c a r
erfitt	ˈ ɛ r v ɪ h t
erfið	ˈ ɛ r v ɪ ð
erfiða	ˈ ɛ r v ɪ ð a
erfiðan	ˈ ɛ r v ɪ ð a n
erfiðar	ˈ ɛ r v ɪ ð a r
erfiðara	ˈ ɛ r v ɪ ð a r a
erfiðari	ˈ ɛ r v ɪ ð a r ɪ
erfiðast	ˈ ɛ r v ɪ ð a s t
erfiðasta	ˈ ɛ r v ɪ ð a s t a
erfiðasti	ˈ ɛ r v ɪ ð a s t ɪ
erfiði	ˈ ɛ r v ɪ ð ɪ
erfiðir	ˈ ɛ r v ɪ ð ɪ r
erfiðisvinnu	ˈ ɛ r v ɪ ð ɪ s v ˌ ɪ n ʏ
erfiðlega	ˈ ɛ r v ɪ ð l ˌ ɛ ɣ a
erfiðleika	ˈ ɛ r v ɪ ð l ˌ ei k a
erfiðleikana	ˈ ɛ r v ɪ ð l ˌ ei k a n a
erfiðleikar	ˈ ɛ r v ɪ ð l ˌ ei k a r
erfiðleikarnir	ˈ ɛ r v ɪ ð l ˌ ei k a r t n ɪ r
erfiðleikum	ˈ ɛ r v ɪ ð l ˌ ei k ʏ m
erfiðra	ˈ ɛ r v ɪ ð r a
erfiðri	ˈ ɛː r f ɪ ð r ɪ
erfiðu	ˈ ɛ r v ɪ ð ʏ
erfiðum	ˈ ɛ r v ɪ ð ʏ m
erfiður	ˈ ɛ r v ɪ ð ʏ r
erfiðustu	ˈ ɛ r v ɪ ð ʏ s t ʏ
erft	ˈ ɛ r̥ t
erfðabreytt	ˈ ɛ r ð a p r ˌ ei h t
erfðaefni	ˈ ɛ r ð a ˌ ɛ p n ɪ
erfðaefnis	ˈ ɛ r ð a ˌ ɛ p n ɪ s
erfðafræði	ˈ ɛ r ð a f r ˌ ai ð ɪ
erfðafylgni	ˈɛ r ð a f ˌɪ l n ɪ
erfðagreining	ˈ ɛ r ð a k r ˌ ei n i ŋ k
erfðagreiningar	ˈ ɛ r ð a k r ˌ ei n i ŋ k a r
erfðagreiningu	ˈ ɛ r ð a k r ˌ ei n i ŋ k ʏ
erfðamengi	ˈ ɛ r ð a m ˌ ei ɲ c ɪ
erfðarannsókn	ˈ ɛ r ð a r ˌ a n s ou h k n̥
erfðaskrá	ˈ ɛ r ð a s k r ˌ au
erfðaskráin	ˈ ɛ r ð a s k r au ɪ n
erfðaskrána	ˈ ɛ r ð a s k r au n a
erfði	ˈ ɛ r ð ɪ
ergilegt	ˈ ɛ r c ɪ l ɛ x t
ergja	ˈ ɛ r c a
eric	ˈ ɛː r ɪ k
erik	ˈ ɛː r ɪ k
eriksen	ˈ ɛː r ɪ k s ˌ ɛ n
eriksson	ˈ ɛː r ɪ k s s ˌ ɔ n
erill	ˈ ɛː r ɪ t l̥
erinda	ˈ ɛ r ɪ n t a
erindagjörðum	ˈ ɛ r ɪ n t a c ˌ œ r ð ʏ m
erindi	ˈ ɛː r ɪ n t ɪ
erindinu	ˈ ɛː r ɪ n t ɪ n ʏ
erindið	ˈ ɛː r ɪ n t ɪ ð
erindum	ˈ ɛ r ɪ n t ʏ m
erkibiskup	ˈ ɛ r̥ c ɪ p ɪ s k ʏ p
erkiengill	ˈ ɛ r̥ c ɪ ei ɲ c ɪ t l̥
erla	ˈ ɛ r t l a
erlen	ˈ ɛ r l ɛ n
erlend	ˈ ɛː r l ɛ n t
erlenda	ˈ ɛː r l ɛ n t a
erlendan	ˈ ɛː r l ɛ n t a n
erlendar	ˈ ɛː r l ɛ n t a r
erlendi	ˈ ɛː r l ɛ n t ɪ
erlendir	ˈ ɛː r l ɛ n t ɪ r
erlendis	ˈ ɛ r l ɛ n t ɪ s
erlendra	ˈ ɛː r l ɛ n t r a
erlendrar	ˈ ɛː r l ɛ n t r a r
erlendri	ˈ ɛː r l ɛ n t r ɪ
erlends	ˈ ɛː r l ɛ n t s
erlendsdóttir	ˈ ɛː r l ɛ n t s t ˌ ou h t ɪ r
erlendsdóttur	ˈ ɛː r l ɛ n t s t ˌ ou h t ʏ r
erlendsson	ˈ ɛː r l ɛ n t s s ˌ ɔ n
erlendssonar	ˈ ɛː r l ɛ n t s s ˌ ɔ n a r
erlendu	ˈ ɛː r l ɛ n t ʏ
erlendum	ˈ ɛː r l ɛ n t ʏ m
erlendur	ˈ ɛː r l ɛ n t ʏ r
erlent	ˈ ɛː r l ɛ n̥ t
erling	ˈ ɛ r t l i ŋ k
erlings	ˈ ɛ r l i ŋ s
erlingsdóttir	ˈ ɛ r l i ŋ s t ˌ ou h t ɪ r
erlingsson	ˈ ɛ r l i ŋ s s ˌ ɔ n
erlingssonar	ˈ ɛ r l i ŋ s s ˌ ɔ n a r
erlingur	ˈ ɛ r l i ŋ k ʏ r
erlu	ˈ ɛ r t l ʏ
ermi	ˈ ɛ r m ɪ
ermolinskij	ˈ ɛ r m ɔ l ɪ n s c i
erna	ˈ ɛ r t n a
ernest	ˈ ɛ r n ɛ s t
erni	ˈ ɛ r t n ɪ
ernie	ˈ œ r n i
ernir	ˈ ɛ r t n ɪ r
ernst	ˈ ɛ r n s t
ernu	ˈ ɛ r t n ʏ
erp	ˈ ɛ r̥ p
erpur	ˈ ɛ r̥ p ʏ r
erró	ˈ ɛ r ou
ers	ˈ ɛ r̥ s
ert	ɛ r̥ t
ertingu	ˈ ɛ r̥ t i ŋ k ʏ
ertnislega	ˈɛ r̥ t n ɪ s t l ɛ ɣ a
ertu	ɛ r̥ t ʏ
eru	ɛː r ʏ
erum	ɛː r ʏ m
eruð	ɛː r ʏ ð
es	ˈ ɛː s
esa	ˈ ɛː s a
esbjerg	ˈ ɛ s p j ɛ r k
esja	ˈ ɛː s j a
esju	ˈ ɛː s j ʏ
esjuhlíðar	ˈ ɛː s j ʏ l̥ ˌ i ð a r
esjuna	ˈ ɛː s j ʏ n a
eskifirði	ˈ ɛ s c ɪ f ˌ ɪ r ð ɪ
eskifjarðar	ˈ ɛ s c ɪ f j ˌ a r ð a r
espanyol	ˈ ɛ s p a n j ɔ l
espn	ˈ ɛ s p n
essen	ˈ ɛː s s ɛ n
essien	ˈ ɛ s i j ɛ n
essinu	ˈ ɛ s ɪ n ʏ
esso	ˈ ɛ s ɔ
est	ˈ ɛ s t
ester	ˈ ɛ s t ɛ r
esther	ˈ ɛ s t h ɛ r
estimated	ˈɛ s t ɪ m ei t ɛ t
estragon	ˈ ɛ s t r a k ɔ n
estragonedik	ˈɛ s t r a k ɔ n ɛ t ɪ k
estragoni	ˈɛ s t r a k ɔ n ɪ
estrógen	ˈ ɛ s t r ou c ɛ n
estrógena	ˈɛ s t r ou c ɛ n a
estrógeni	ˈ ɛ s t r ou c ɛ n ɪ
estrógenið	ˈɛ s t r ou c ɛ n ɪ ð
estrógens	ˈɛ s t r ou c ɛ n s
eta	ˈ ɛː t a
ethernet	ˈɛ θ ɛ r n ɛ t
etja	ˈ ɛː t j a
etta	ˈ ɛ h t a
euro	j ˈ uː r ou
europe	j ˈ uː r ou p
european	j ˈ uː r ou p i a n
europol	j ˈ uː r ou pʰ ou l
eurostat	j ˈ uː r ou s t a t
eurovision	j ˈ uː r ou v ɪ s j ɔ n
eva	ˈ ɛː v a
evangelísk	ˈ ɛː v a ɲ c ɛ l i s k
evangelískir	ˈɛː v a ɲ c ɛ l i s c ɪ r
evans	ˈ ɛ v a n s
eve	ˈ iː v
even	ˈ iː v ɛ n
evening	ˈ iː v n i ŋ
ever	ˈ ɛ v ɛ r
everest	ˈ ɛ v ɛ r ɛ s t
everestfjall	ˈ ɛː v ɛ r ɛ s t f j a t l̥
everton	ˈ ɛː v ɛ r̥ t ɔ n
every	ˈ ɛ v r i
everybody	ˈ ɛ v r i p ɔ t i
everyone	ˈ ɛ v r i v ɔ n
everywhere	ˈ ɛ v r i v ɛ r
evidence	ˈ ɛ v ɪ t ɛ n s
evil	ˈ iː v ɪ l
evklíð	ˈ ɛ v kʰ l i ð
evklíðs	ˈɛ v kʰ l i ð s
evra	ˈ ɛ v r a
evran	ˈ ɛ v r a n
evru	ˈ ɛ v r ʏ
evrum	ˈ ɛ v r ʏ m
evruna	ˈ ɛ v r ʏ n a
evrunnar	ˈ ɛ v r ʏ n a r
evrunni	ˈ ɛ v r ʏ n ɪ
evrur	ˈ ɛ v r ʏ r
evruríkjanna	ˈ ɛ v r ʏ r ˌ i c a n a
evrusvæðinu	ˈ ɛ v r ʏ s v ˌ ai ð ɪ n ʏ
evrusvæðisins	ˈ ɛ v r ʏ s v ˌ ai ð ɪ s ɪ n s
evrusvæðið	ˈ ɛ v r ʏ s v ˌ ai ð ɪ ð
evrópa	ˈ ɛ v r ou p a
evrópsk	ˈ ɛ v r ou p s k
evrópska	ˈ ɛ v r ou p s k a
evrópskar	ˈ ɛ v r ou p s k a r
evrópski	ˈ ɛ v r ou p s c ɪ
evrópskir	ˈ ɛ v r ou p s c ɪ r
evrópskra	ˈ ɛ v r ou p s k r a
evrópskri	ˈ ɛ v r ou p s k r ɪ
evrópskt	ˈ ɛ v r ou p s t
evrópsku	ˈ ɛ v r ou p s k ʏ
evrópskum	ˈ ɛ v r ou p s k ʏ m
evrópskur	ˈ ɛ v r ou p s k ʏ r
evrópu	ˈ ɛ v r ou p ʏ
evrópubandalaginu	ˈ ɛ v r ou p ʏ p ˌ a n t a l ˌ ai j ɪ n ʏ
evrópubandalagið	ˈ ɛ v r ou p ʏ p ˌ a n t a l ai j ɪ ð
evrópubandalagsins	ˈ ɛ v r ou p ʏ p ˌ a n t a l a x s ɪ n s
evrópubúa	ˈ ɛ v r ou p ʏ p ˌ u a
evrópubúar	ˈ ɛ v r ou p ʏ p ˌ u a r
evrópudeild	ˈ ɛ v r ou p ʏ t ˌ ei l t
evrópudeildarinnar	ˈ ɛ v r ou p ʏ t ˌ ei l t a r ɪ n a r
evrópudeildinni	ˈ ɛ v r ou p ʏ t ˌ ei l t ɪ n ɪ
evrópukeppni	ˈ ɛ v r ou p ʏ cʰ ˌ ɛ h p n ɪ
evrópukeppnina	ˈ ɛ v r ou p ʏ cʰ ˌ ɛ h p n ɪ n a
evrópukeppninnar	ˈ ɛ v r ou p ʏ cʰ ˌ ɛ h p n ɪ n a r
evrópukeppninni	ˈ ɛ v r ou p ʏ cʰ ˌ ɛ h p n ɪ n ɪ
evrópukvikmyndir	ˈɛ v r ou p ʏ kʰ v ˌɪ k m ɪ n t ɪ r
evrópulanda	ˈ ɛ v r ou p ʏ l ˌ a n t a
evrópulöndum	ˈ ɛ v r ou p ʏ l ˌ œ n t ʏ m
evrópumeistara	ˈ ɛ v r ou p ʏ m ˌ ei s t a r a
evrópumeistaramótinu	ˈ ɛ v r ou p ʏ m ˌ ei s t a r a m ˌ ou t ɪ n ʏ
evrópumeistarar	ˈ ɛ v r ou p ʏ m ˌ ei s t a r a r
evrópumeistari	ˈ ɛ v r ou p ʏ m ˌ ei s t a r ɪ
evrópumeisturum	ˈ ɛ v r ou p ʏ m ˌ ei s t ʏ r ʏ m
evrópumál	ˈ ɛ v r ou p ʏ m ˌ au l
evrópumálin	ˈ ɛ v r ou p ʏ m ˌ au l ɪ n
evrópumálum	ˈ ɛ v r ou p ʏ m ˌ au l ʏ m
evrópumót	ˈ ɛ v r ou p ʏ m ˌ ou t
evrópumótaröðinni	ˈ ɛ v r ou p ʏ m ˌ ou t a r ˌ œ ð ɪ n ɪ
evrópumóti	ˈ ɛ v r ou p ʏ m ˌ ou t ɪ
evrópumótinu	ˈ ɛ v r ou p ʏ m ˌ ou t ɪ n ʏ
evrópumótið	ˈ ɛ v r ou p ʏ m ˌ ou t ɪ ð
evrópumóts	ˈ ɛ v r ou p ʏ m ˌ ou t s
evrópumótsins	ˈ ɛ v r ou p ʏ m ˌ ou t s ɪ n s
evrópuráðsins	ˈ ɛ v r ou p ʏ r ˌ au ð s ɪ n s
evrópuríki	ˈ ɛ v r ou p ʏ r ˌ i c ɪ
evrópuríkja	ˈ ɛ v r ou p ʏ r ˌ i c a
evrópuríkjum	ˈ ɛ v r ou p ʏ r ˌ i c ʏ m
evrópusambandinu	ˈ ɛ v r ou p ʏ s ˌ a m p a n t ɪ n ʏ
evrópusambandið	ˈ ɛ v r ou p ʏ s ˌ a m p a n t ɪ ð
evrópusambandsaðild	ˈ ɛ v r ou p ʏ s ˌ a m p a n t s a ð ɪ l t
evrópusambandsins	ˈ ɛ v r ou p ʏ s ˌ a m p a n t s ɪ n s
evrópusæti	ˈ ɛ v r ou p ʏ s ˌ ai t ɪ
evróputúrnum	ˈ ɛ v r ou p ʏ tʰ ˌ u r t n ʏ m
evrópuverkefninu	ˈ ɛ v r ou p ʏ v ˌ ɛ r̥ k ɛ p n ɪ n ʏ
evrópuþinginu	ˈ ɛ v r ou p ʏ θ ˌ i ɲ c ɪ n ʏ
evrópuþingið	ˈ ɛ v r ou p ʏ θ ˌ i ɲ c ɪ ð
evrópuþingsins	ˈ ɛ v r ou p ʏ θ ˌ i ŋ s ɪ n s
evrópuþjóða	ˈ ɛ v r ou p ʏ θ j ˌ ou ð a
evrópuþjóðir	ˈ ɛ v r ou p ʏ θ j ˌ ou ð ɪ r
evróvisjón	ˈ ɛ v r ou v ɪ s j ou n
evu	ˈ ɛː v ʏ
ex	ˈ ɛ k s
excel	ˈ ɛ k s ɛ l
excellence	ˈ ɛ k s ɛ l ɛ n s
exd	ˈɛ k s t
exeter	ˈ ɛː k s ɛ t ɛ r
exi	ˈ ɛ k s ɪ
exista	ˈ ɛ k s ɪ s t a
existu	ˈ ɛ k s ɪ s t ʏ
experience	ˈ ɛ k s p i r i j ɛ n s
expo	ˈ ɛ k s p ou
export	ˈ ɛ k s p ɔ r̥ t
express	ˈ ɛ k s p r ɛ s
extra	ˈ ɛ k s t r a
ey	ˈ eiː
eydal	ˈ eiː t a l
eyddi	ˈ ei t ɪ
eyddu	ˈ ei t ʏ
eyddum	ˈ ei t ʏ m
eydís	ˈ eiː t i s
eye	ˈ aiː
eyed	ˈ aiː t
eyeliner	ˈ aiː l ai n ɛ r
eyes	ˈ aiː s
eyf	ˈeiː v
eyfirðinga	ˈ eiː f ɪ r ð i ŋ k a
eyfjörð	ˈ eiː f j œ r ð
eygja	ˈ ei j a
eygló	ˈ eiː k l ou
eyglóar	ˈ ei k l ou a r
eygði	ˈ ei ɣ ð ɪ
eyja	ˈ ei j a
eyjabakka	ˈ ei j a p ˌ a h k a
eyjafirði	ˈ ei j a f ˌ ɪ r ð ɪ
eyjafjallajökli	ˈ ei j a f j a t l a j ˌ œ h k l ɪ
eyjafjallajökull	ˈ ei j a f j a t l a j ˌ œ k ʏ t l̥
eyjafjarðar	ˈ ei j a f j ˌ a r ð a r
eyjafjarðarsveit	ˈ ei j a f j a r ð a r s v ˌ ei t
eyjafjöllum	ˈ ei j a f j ˌ œ t l ʏ m
eyjafjörð	ˈ ei j a f j ˌ œ r ð
eyjaklasinn	ˈ ei j a kʰ l a s ɪ n
eyjamanna	ˈ ei j a m ˌ a n a
eyjamenn	ˈ ei j a m ˌ ɛ n
eyjamönnum	ˈ ei j a m ˌ œ n ʏ m
eyjan	ˈ ei j a n
eyjanna	ˈ ei j a n a
eyjar	ˈ ei j a r
eyjarinnar	ˈ ei j a r ɪ n a r
eyjarnar	ˈ ei j a r t n a r
eyjarskeggjar	ˈ ei j a r s c ɛ c a r
eyjastelpu	ˈei j a s t ɛ l̥ p ʏ
eyjastúlkur	ˈ ei j a s t ˌ u l̥ k ʏ r
eyjaálfa	ˈ ei j a ˌ au l v a
eyju	ˈ ei j ʏ
eyjum	ˈ ei j ʏ m
eyjuna	ˈ ei j ʏ n a
eyjunnar	ˈ ei j ʏ n a r
eyjunni	ˈ ei j ʏ n ɪ
eyjunum	ˈ ei j ɔ n ʏ m
eyjólfi	ˈ ei j ou l v ɪ
eyjólfs	ˈ ei j ou l f s
eyjólfsdóttir	ˈ ei j ou l f s t ˌ ou h t ɪ r
eyjólfsson	ˈ ei j ou l f s s ˌ ɔ n
eyjólfssonar	ˈ ei j ou l f s s ˌ ɔ n a r
eyjólfsstaðir	ˈei j ou l f s s t ˌa ð ɪ r
eyjólfssyni	ˈ ei j ou l f s s ˌ ɪ n ɪ
eyjólfur	ˈ ei j ou l v ʏ r
eykst	ˈ ei k s t
eykt	ˈ ei x t
eykur	ˈ eiː k ʏ r
eyland	ˈ eiː l a n t
eymd	ˈ ei m t
eymdarlegri	ˈei m t a r l ɛ ɣ r ɪ
eymsli	ˈ ei m s t l ɪ
eymundsdóttir	ˈ eiː m ʏ n t s t ou h t ɪ r
eymundsson	ˈ eiː m ʏ n t s ɔ n
eymundur	ˈ eiː m ʏ n t ʏ r
eynni	ˈ ei n ɪ
eyra	ˈ eiː r a
eyrarbakka	ˈ eiː r a r p ˌ a h k a
eyrarskjóli	ˈeiː r a r s c ˌou l ɪ
eyrað	ˈ eiː r a ð
eyri	ˈ eiː r ɪ
eyrinni	ˈ eiː r ɪ n ɪ
eyrir	ˈ eiː r ɪ r
eyrnalokka	ˈ ei r t n a l ˌ ɔ h k a
eyrnamergur	ˈei r t n a m ɛ r k ʏ r
eyrnamerkt	ˈ ei r t n a m ˌ ɛ r̥ t
eyrnamerktur	ˈ ei r t n a m ˌ ɛ r̥ t ʏ r
eyru	ˈ eiː r ʏ
eyrum	ˈ eiː r ʏ m
eyrun	ˈ eiː r ʏ n
eyrunum	ˈ eiː r ʏ n ʏ m
eyrún	ˈ eiː r u n
eysteinn	ˈ eiː s t ei t n̥
eysteinsdóttir	ˈ eiː s t ei n s t ˌ ou h t ɪ r
eysteinsson	ˈ eiː s t ei n s s ˌ ɔ n
eystra	ˈ ei s t r a
eystrasaltsríkin	ˈ ei s t r a s a l̥ t s r ˌ i c ɪ n
eystrasaltsríkjanna	ˈ ei s t r a s a l̥ t s r ˌ i c a n a
eystrasaltsríkjunum	ˈ ei s t r a s a l̥ t s r ˌ i c ɔ n ʏ m
eystri	ˈ ei s t r ɪ
eystribyggð	ˈ ei s t r ɪ p ˌ ɪ ɣ ð
eytt	ˈ ei h t
eyvindur	ˈ eiː v ɪ n t ʏ r
eyða	ˈ eiː ð a
eyði	ˈ eiː ð ɪ
eyðilagst	ˈ eiː ð ɪ l ˌ a x s t
eyðilagt	ˈ eiː ð ɪ l ˌ a x t
eyðilagði	ˈ eiː ð ɪ l ˌ a ɣ ð ɪ
eyðilegging	ˈ eiː ð ɪ l ˌ ɛ c i ŋ k
eyðileggingu	ˈ eiː ð ɪ l ˌ ɛ c i ŋ k ʏ
eyðileggja	ˈ eiː ð ɪ l ˌ ɛ c a
eyðilegt	ˈ eiː ð ɪ l ɛ x t
eyðilögð	ˈ eiː ð ɪ l ˌ œ ɣ ð
eyðilögðust	ˈ eiː ð ɪ l ˌ œ ɣ ð ʏ s t
eyðingu	ˈ eiː ð i ŋ k ʏ
eyðir	ˈ eiː ð ɪ r
eyðni	ˈ ei ð n ɪ
eyðsla	ˈ ei ð s t l a
eyðslu	ˈ ei ð s t l ʏ
eyðublað	ˈ eiː ð ʏ p l ˌ a ð
eyþór	ˈ eiː θ ou r
eyþórs	ˈ eiː θ ou r̥ s
eyþórsdóttir	ˈ eiː θ ou r̥ s t ˌ ou h t ɪ r
eyþórsson	ˈ eiː θ ou r̥ s s ˌ ɔ n
eð	ˈ ɛː ð
eða	ɛː ð a
eðla	ˈ ɛ ð l a
eðli	ˈ ɛ ð l ɪ
eðlileg	ˈ ɛ ð l ɪ l ɛ ɣ
eðlilega	ˈ ɛ ð l ɪ l ˌ ɛ ɣ a
eðlilegan	ˈ ɛ ð l ɪ l ˌ ɛ ɣ a n
eðlilegar	ˈ ɛ ð l ɪ l ɛ ɣ a r
eðlilegast	ˈ ɛ ð l ɪ l ˌ ɛ ɣ a s t
eðlilegra	ˈ ɛ ð l ɪ l ɛ ɣ r a
eðlilegri	ˈ ɛ ð l ɪ l ɛ ɣ r ɪ
eðlilegt	ˈ ɛ ð l ɪ l ɛ x t
eðlilegu	ˈ ɛ ð l ɪ l ˌ ɛ ɣ ʏ
eðlilegum	ˈ ɛ ð l ɪ l ˌ ɛ ɣ ʏ m
eðlilegur	ˈ ɛ ð l ɪ l ˌ ɛ ɣ ʏ r
eðlis	ˈ ɛ ð l ɪ s
eðlisfari	ˈ ɛ ð l ɪ s f ˌ a r ɪ
eðlisfræði	ˈ ɛ ð l ɪ s f r ˌ ai ð ɪ
eðlislægt	ˈ ɛ ð l ɪ s l ˌ ai x t
eður	ˈ ɛː ð ʏ r
eðvaldsdóttir	ˈ ɛ ð v a l t s t ˌ ou h t ɪ r
eðvaldsdóttur	ˈ ɛ ð v a l t s t ˌ ou h t ʏ r
eðvaldsson	ˈ ɛ ð v a l t s s ˌ ɔ n
eðvarð	ˈ ɛ ð v a r ð
eðvarðsson	ˈ ɛ ð v a r ð s s ˌ ɔ n
eþíópíu	ˈ ɛː θ i ou pʰ i j ʏ
f	ˈ ɛ f
fabian	f ˈ aː p i j a n
fabio	f ˈ aː p i ou
fabregas	f ˈ a p r ɛ k a s
face	f ˈ eiː s
facebook	f ˈ eiː s p u k
faces	f ˈ eiː s ɛ s
facewidgets	f ˈeiː s v ɪ t s j ɛ t s
fact	f ˈ a x t
factor	f ˈ a x t ɔ r
factors	f ˈ a x t ɔ r̥ s
factory	f ˈ a x t ɔ r i
facts	f ˈ a x t s
fag	f ˈ aː ɣ
fagaðila	f ˈ aː ɣ a ð ɪ l a
fagfjárfesta	f ˈ aː ɣ f j au r f ˌ ɛ s t a
fagfjárfestasjóðurinn	f ˈ aː ɣ f j au r f ˌ ɛ s t a s j ou ð ʏ r ɪ n
fagfjárfestum	f ˈ aː ɣ f j au r f ˌ ɛ s t ʏ m
fagfólk	f ˈ aː ɣ f ou l̥ k
fagfólki	f ˈ aː ɣ f ou l̥ c ɪ
fagfólks	f ˈ aː ɣ f ou l̥ k s
faggi	f ˈa c ɪ
faggildingu	f ˈ aː ɣ c ɪ l t i ŋ k ʏ
faggreinar	f ˈ aː ɣ k r ei n a r
faghópur	f ˈ aː ɣ h ou p ʏ r
fagi	f ˈ ai j ɪ
faginu	f ˈ ai j ɪ n ʏ
fagleg	f ˈ a ɣ l ɛ ɣ
faglega	f ˈ aː ɣ l ɛ ɣ a
faglegan	f ˈ aː ɣ l ɛ ɣ a n
faglegar	f ˈ a ɣ l ɛ ɣ a r
faglegri	f ˈ a ɣ l ɛ ɣ r ɪ
faglegt	f ˈ a ɣ l ɛ x t
faglegu	f ˈ aː ɣ l ɛ ɣ ʏ
faglegum	f ˈ aː ɣ l ɛ ɣ ʏ m
faglegur	f ˈ aː ɣ l ɛ ɣ ʏ r
fagmannlega	f ˈ aː ɣ m a n l ˌ ɛ ɣ a
fagmannlegum	f ˈ aː ɣ m a n l ˌ ɛ ɣ ʏ m
fagmaður	f ˈ aː ɣ m a ð ʏ r
fagmenn	f ˈ aː ɣ m ɛ n
fagmennsku	f ˈ aː ɣ m ɛ n s k ʏ
fagna	f ˈ a k n a
fagnandi	f ˈ a k n a n t ɪ
fagnar	f ˈ a k n a r
fagnað	f ˈ a k n a ð
fagnaðar	f ˈ a k n a ð a r
fagnaðarefni	f ˈ a k n a ð a r ˌ ɛ p n ɪ
fagnaðarfundir	f ˈ a k n a ð a r f ˌ ʏ n t ɪ r
fagnaðarlæti	f ˈ a k n a ð a r l ˌ ai t ɪ
fagnaðarlætin	f ˈ a k n a ð a r l ˌ ai t ɪ n
fagnaðaróp	f ˈ a k n a ð a r ou p
fagnaði	f ˈ a k n a ð ɪ
fagni	f ˈ a k n ɪ
fagnámskeið	f ˈaː ɣ n au m s c ˌei ð
fagott	f ˈ aː k ɔ h t
fagotti	f ˈaː k ɔ h t ɪ
fagottið	f ˈaː k ɔ h t ɪ ð
fagottleikara	f ˈaː k ɔ h t l ˌei k a r a
fagottleikari	f ˈaː k ɔ h t l ˌei k a r ɪ
fagottleikarinn	f ˈaː k ɔ h t l ˌei k a r ɪ n
fagottleikurum	f ˈaː k ɔ h t l ˌei k ʏ r ʏ m
fagotttónleika	f ˈaː k ɔ h t tʰ ou n l ˌei k a
fagottum	f ˈaː k ɔ h t ʏ m
fagra	f ˈ a ɣ r a
fagradal	f ˈ a ɣ r a t ˌ a l
fagrahvammi	f ˈ a ɣ r a kʰ v ˌ a m ɪ
fagrar	f ˈ a ɣ r a r
fagrir	f ˈ a ɣ r ɪ r
