aaron	a: r O n
gagnagrunnum	k a k n a k r Y n Y m
gagnagrunnur	k a k n a k r Y n Y r
gagnasafni	k a k n a s a p n I
gagnasafnskerfis	k a k n a s a p n_0 s c_h E r v I s
gagnaskráningarkerfi	k a k n a s k r au n i N k a r_0 c E r v I
gagnast	k a k n a s t
gagnasöfnum	k a k n a s 9 p n Y m
gagnfræðaskólanum	k a k n_0 f r ai D a s k ou l a n Y m
gagngerar	k a c E r a r
gagngert	k a c E r_0 t
gagni	k a k n I
gagnist	k a k n I s t
gagnið	k a k n I D
gagnkvæm	k a k_h v ai m
gagnkvæmar	k a k_h v ai m a r
gagnkvæmri	k a k_h v ai m r I
gagnkvæmt	k a k_h v ai m_0 t
gagnkvæmum	k a k_h v ai m Y m
gagnkynhneigðra	k a k c_h I n n_0 ei G D r a
gagnlegt	k a k l E x t
gagnrýna	k a k r i n a
gagnrýnd	k a k r i n t
gagnrýndi	k a k r i n t I
gagnrýndur	k a k r i n t Y r
gagnrýni	k a k r i n I
gagnrýnir	k a k r i n I r
gagnrýnisraddir	k a k r i n I s r a t I r
gagnrýnni	k a k r i t n I
gagnrýnt	k a k r i n_0 t
gagns	k a k s
gagnsemi	k a k s E m I
gagnslaust	k a k s t l 9i s t
gagnstefnanda	k a k n_0 s t E p n a n t a
gagnstefnandi	k a k n_0 s t E p n a n t I
gagnstætt	k a k s t ai h t
gagnstæða	k a k s t ai D a
gagnsæ	k a k s ai
gagntaka	k a k t_h a k a
gagnvirkt	k a k v I r_0 t
gagnáfrýjanda	k a k n au f r i j a n t a
gakk	k a h k
gakktu	k a x t Y
gala	k a: l a
galakvöld	k a: l a k_h v 9 l t
galdrahyskinu	k a l t r a h I s c I n Y
galdur	k a l t Y r
galdurinn	k a l t Y r I n
galið	k a: l I D
gall	k a t l_0
galla	k a l a
gallabuxum	k a l a p Y k s Y m
gallabuxur	k a l a p Y k s Y r
gallabuxurnar	k a l a p Y k s Y r t n a r
gallajökkum	k a l a j 9 h k Y m
gallalaus	k a t l a l 9i s
gallann	k a t l a n
gallanum	k a l a n Y m
gallarnir	k a t l a r t n I r
gallerí	k a l E r i
galleríi	k a l E r i I
galleríið	k a l E r i j I D
gallerís	k a l E r i s
gallganga	k a t l_0 k au N k a
gallharður	k a t l_0 h a r D Y r
galli	k a l I
gallsteinabriskirtilsbólgu	k a t l_0 s t ei n a p r I s c_h I r_0 t I l s p ou l k Y
gallstíflunni	k a t l s t i p l Y n I
gallup	k a l u p
gallups	k a l u p s
galopnum	k a: l O h p n Y m
galt	k a l_0 t
galtómur	k a l t_h ou m Y r
galílea	k a: l i l E a
gamaldags	k a: m a l t a x s
gamalkunna	k a: m a l k_h Y n a
gamall	k a: m a t l_0
gamalli	k a: m a t l I
gamals	k a: m a l s
gamalt	k a: m a l_0 t
gaman	k a: m a n
gamanleikrit	k a: m a n l ei k r I t
gamanmyndaflokkur	k a: m a n m I n t a f l O h k Y r
gamans	k a: m a n s
gamanþáttaröð	k a: m a n T au h t a r 9 D
gamla	k a m l a
gamlan	k a m l a n
gamlar	k a m l a r
gamli	k a m l I
gamlárskvöld	k a m l au r_0 s k_h v 9 l t
gamma	k a m a
gammanorm	k a m a n O r m
gammar	k a m a r
gamminn	k a m I n
gamni	k a m n I
gang	k au N k
ganga	k au N k a
gangan	k au N k a n
gangandi	k au N k a n t I
ganganna	k au N k a n a
gangar	k au N k a r
gangast	k au N k a s t
gangbraut	k au N k p r 9i t
gangbrautarvarsla	k au N k p r 9i t a r v a r_0 s t l a
gangfær	k au N k f ai r
gangi	k au J c I
ganginn	k au J c I n
ganginum	k au J c I n Y m
gangir	k au J c I r
gangs	k au N s
gangsett	k au N s E h t
gangstétt	k au N k s t j E h t
gangstéttina	k au N s t j E h t I n a
gangstéttinni	k au N s t j E h t I n I
gangstéttir	k au N s t j E h t I r
gangstéttum	k au N s t j E h t Y m
gangstéttunum	k au N k s t j E h t O n Y m
gangur	k au N k Y r
gantaðist	k a n_0 t a D I s t
gapandi	k a: p a n t I
gardínur	k a r t i n Y r
gareth	k a r E T
garg	k a r k
gargi	k a r c I
garn	k a r t n_0
garnmör	k a r t n m 9 r
garp	k a r_0 p
garpur	k a r_0 p Y r
gary	k a: r i
garð	k a r D
garðabæjar	k a r D a p ai j a r
garðahringsins	k a r D a r_0 i N s I n s
garðakirkju	k a r D a c_h I r_0 c Y
garðar	k a r D a r
garðars	k a r D a r_0 s
garðarsdóttir	k a r D a r_0 s t ou h t I r
garðarsdóttur	k a r D a r_0 s t ou h t Y r
garðarsson	k a r D a r_0 s O n
garðarssonar	k a r D a r_0 s O n a r
garðarssyni	k a r D a r_0 s I n I
garði	k a r D I
garðinn	k a r D I n
garðinum	k a r D I n Y m
garðrækt	k a r D r ai x t
garður	k a r D Y r
garðvegi	k a r D v ei j I
garðyrkja	k a r D I r_0 c a
garðyrkjuskólann	k a r D I r_0 c Y s k ou l a n
garðyrkjustjóri	k a r D I r_0 c Y s t j ou r I
gas	k a: s
gasi	k a: s I
gasjöfnunina	k a: s j 9 p n Y n I n a
gasklösunum	k a: s k_h l 9 s O n Y m
gasolía	k a: s O l i j a
gat	k a: t
gata	k a: t a
gatnamót	k a h t n a m ou t
gatnamótin	k a h t n a m ou t I n
gatnamótum	k a h t n a m ou t Y m
gatnanna	k a h t n a n a
gauknum	k 9i h k n Y m
gaupnir	k 9i h p n I r
gaur	k 9i: r
gauragangi	k 9i: r a k au J c I
gautaborg	k 9i: t a p O r k
gauti	k 9i: t I
gef	c E: v
gefa	c E: v a
gefandi	c E: v a n t I
gefast	c E: v a s t
gefin	c E: v I n
gefist	c E: v I s t
gefið	c E: v I D
gefnar	c E p n a r
gefnum	c E p n Y m
gefst	c E f s t
gefum	c E: v Y m
gefur	c E: v Y r
gefðu	c E v D Y
geggjaður	c E c a D Y r
geggjuð	c E c Y D
gegn	c E k n_0
gegna	c E k n a
gegndrepa	c E k t r E p a
gegnheil	c E k n_0 h ei l
gegni	c E k n I
gegnir	c E k n I r
gegnsær	c E k n_0 s ai r
gegnsósa	c E k n_0 s ou s a
gegnt	c ei N_0 t
gegnum	c E k n Y m
gegnumbrot	c E k n Y m p r O t
gegnumgangandi	c E k n Y m k au N k a n t I
geigar	c ei: G a r
geilinni	c ei: l I n I
geimfar	c ei m f a r
geimferðin	c ei m f E r D I n
geimflaugar	c ei: m f l 9i G a r
geiminn	c ei: m I n
geimverur	c ei m v E r Y r
geimverurnar	c ei m v E r Y r t n a r
geir	c ei: r
geira	c ei: r a
geirfinn	c ei r f I n
geirfinni	c ei r_0 f I n I
geirfugl	c ei r_0 f Y k l_0
geirharðsdóttir	c ei r h a r D s t ou h t I r
geiri	c ei: r I
geirmundur	c ei r m Y n t Y r
geirs	c ei r_0 s
geirsdóttir	c ei r_0 s t ou h t I r
geirsson	c ei r_0 s O n
geirssonar	c ei r_0 s O n a r
geirvörtuna	c ei r v 9 r_0 t Y n a
geirvörtur	c ei r v 9 r_0 t Y r
geisa	c ei: s a
geisar	c ei: s a r
geisaði	c ei: s a D I
geisla	c ei s t l a
geislabaugur	c ei s t l a p 9i G Y r
geislabelti	c ei s t l a p E l_0 t I
geisladisk	c ei s t l a t I s k
geisladiska	c ei s t l a t I s k a
geisladiskar	c ei s t l a t I s k a r
geisladiski	c ei s t l a t I s c I
geisladiskum	c ei s t l a t I s k Y m
geisladiskur	c ei s t l a t I s k Y r
geisladrifið	c ei s t l a t r I v I D
geislafræðingarnir	c ei s t l a f r ai D i N k a r t n I r
geislameðferð	c ei s t l a m E D f E r D
geislanum	c ei s t l a n Y m
geislaplötu	c ei s t l a p_h l 9 t Y
geislar	c ei s t l a r
geislarnir	c ei s t l a r t n I r
geislaskammts	c ei s t l a s k a m_0 t s
geislaspilaranum	c ei s t l a s p I l a r a n Y m
geislavirks	c ei s t l a v I r_0 k s
geislaði	c ei s t l a D I
geisli	c ei s t l I
geislum	c ei s t l Y m
geispaði	c ei s p a D I
geitungaofsóknum	c ei: t u N k a O f s ou h k n Y m
gekk	c E h k
gekkst	c E h k s t
gel	c E: l
gelbyssum	c E l p I s Y m
gelda	c E l t a
geldan	c E l t a n
geldneytum	c E l t n ei t Y m
gellur	c E l Y r
gelt	c E l_0 t
gelta	c E l_0 t a
gelti	c E l_0 t I
gemsann	c E m s a n
gemsinn	c E m s I n
gen	c E: n
genamengi	c E: n a m ei J c I
geng	c ei N k
gengdarlausa	c ei N t a r l 9i s a
gengi	c ei J c I
gengin	c ei J c I n
genginn	c ei J c I n
genginu	c ei J c I n Y
gengisbreytinga	c ei J c I s p r ei t i N k a
gengishagnaður	c ei J c I s h a k n a D Y r
gengisins	c ei J c I s I n s
gengiskráningarvog	c ei J c I s k r au n i N k a r v O x
gengislækkun	c ei J c I s t l ai h k Y n
gengislækkunar	c ei J c I s t l ai h k Y n a r
gengislækkunin	c ei J c I s l ai h k Y n I n
gengismunur	c ei J c I s m Y n Y r
gengist	c ei J c I s t
gengistap	c ei J c I s t_h a p
gengistapi	c ei J c I s t_h a p I
gengisþróun	c ei J c I s T r ou Y n
gengisþróunar	c ei J c I s T r ou Y n a r
gengið	c ei J c I D
gengju	c ei J c Y
gengjum	c ei J c Y m
gengjur	c ei J c Y r
gengnum	c ei N n Y m
gengst	c ei N s t
gengt	c ei N_0 t
gengu	c ei N k Y
gengum	c ei N k Y m
gengur	c ei N k Y r
gengurðu	c ei N k Y r D Y
gengust	c ei N k Y s t
genið	c E: n I D
georgs	c E: O r k s
georgsson	c E: O r k s O n
georgíu	c E: O r c i j Y
ger	c E: r
gera	c E: r a
gerandinn	c E: r a n t I n
gerast	c E: r a s t
gerbreytt	c E r p r ei h t
gerdeig	c E r t ei G
gereyðilagt	c E: r ei D I l a x t
geri	c E: r I
gerir	c E: r I r
gerist	c E: r I s t
gerjun	c E r j Y n
gerjunarhæfni	c E r j Y n a r_0 h ai p n I
gerlasmit	c E r t l a s m I t
gerlegt	c E r t l E x t
gerpla	c E r_0 p l a
gerplu	c E r_0 p l Y
gerræði	c E r ai D I
gersamlega	c E r_0 s a m l E G a
gersemar	c E r_0 s E m a r
gerst	c E r_0 s t
gert	c E r_0 t
gerum	c E: r Y m
gervalla	c E r v a t l a
gervi	c E r v I
gervigras	c E r v I k r a s
gervigreind	c E r v I k r ei n t
gervitungl	c E r v I t_h u N l
gerð	c E r D
gerða	c E r D a
gerðahreppi	c E r D a r_0 E h p I
gerðahreppur	c E r D a r_0 E h p Y r
gerðar	c E r D a r
gerðarbeiðanda	c E r D a r_0 p ei D a n t a
gerðarsafn	c E r D a r_0 s a p n_0
gerðarsafni	c E r D a r_0 s a p n I
gerðarþola	c E r D a r_0 T O l a
gerði	c E r D I
gerðir	c E r D I r
gerðirðu	c E r D I r D Y
gerðist	c E r D I s t
gerðu	c E r D Y
gerðubergs	c E r D Y p E r k s
gerðum	c E r D Y m
gerður	c E r D Y r
gerðust	c E r D Y s t
gerðuð	c E r D Y D
gesta	c E s t a
gestafyrirlesari	c E s t a f I r I r l E s a r I
gestafyrirlestur	c E s t a f I r I r l E s t Y r
gestagangur	c E s t a k au N k Y r
gestaherbergi	c E s t a h E r p E r c I
gestaherberginu	c E s t a h E r p E r c I n Y
gestanna	c E s t a n a
gestasöngvari	c E s t a s 9i N k v a r I
gestgjafann	c E s t c a v a n
gestgjafi	c E s t c a v I
gestgjafinn	c E s t c a v I n
gesti	c E s t I
gestina	c E s t I n a
gestir	c E s t I r
gestirnir	c E s t I r t n I r
gestkomandi	c E s k O m a n t I
gestrisni	c E s t r I s t n I
gests	c E s t s
gestsdóttir	c E s t s t ou h t I r
gestsdóttur	c E s t s t ou h t Y r
gestsins	c E s t s I n s
gestsson	c E s t s O n
gestum	c E s t Y m
gestunum	c E s t O n Y m
gestur	c E s t Y r
gesturinn	c E s t Y r I n
get	c E: t
geta	c E: t a
getað	c E: t a D
geti	c E: t I
getið	c E: t I D
getnaðarlim	c E h t n a D a r l I m
getnaðarvörn	c E h t n a D a r v 9 r t n_0
getraunaleikur	c E: t r 9i n a l ei k Y r
getu	c E: t Y
getuleysi	c E: t Y l ei s I
getum	c E: t Y m
getur	c E: t Y r
geyma	c ei: m a
geymd	c ei m t
geymdar	c ei m t a r
geymi	c ei: m I
geymir	c ei: m I r
geymsla	c ei m s t l a
geymslu	c ei m s t l Y
geymsluaðstæðna	c ei m s t l Y a D s t ai D n a
geymslum	c ei m s t l Y m
geymslur	c ei m s t l Y r
geymslurými	c ei m s t l Y r i m I
geymt	c ei m_0 t
geysi	c ei: s I
geysilega	c ei: s I l E G a
geysiskemmtilegum	c ei: s I s c E m_0 t I l E G Y m
geysistór	c ei: s I s t ou r
geð	c E: D
geðheilsu	c E D h ei l s Y
geðhjálp	c E D C au l_0 p
geðhjálpar	c E D C au l_0 p a r
geðið	c E: D I D
geðjaðist	c E D j a D I s t
geðklofa	c E D k_h l O v a
geðklofasjúklings	c E D k_h l O v a s j u h k l i N s
geðlækni	c E D l ai h k n I
geðlæknir	c E D l ai h k n I r
geðlæknis	c E D l ai h k n I s
geðs	c E D s
geðsjúkdóma	c E D s j u k t ou m a
geðsjúkra	c E D s j u k r a
geðveiki	c E D v ei c I
geðveikrahælinu	c E D v ei k r a h ai l I n Y
geðveikur	c E D v ei k Y r
geðþótta	c E T ou h t a
gifs	c I f s
gifspússningu	c I f s p_h u s t n i N k Y
gifst	c I f s t
gifsveggi	c I f s v E c I
gift	c I f t
gifta	c I f t a
giftast	c I f t a s t
gifti	c I f t I
giftingar	c I f t i N k a r
giftingu	c I f t i N k Y
giftinguna	c I f t i N k Y n a
giftir	c I f t I r
giftist	c I f t I s t
giftum	c I f t Y m
giftur	c I f t Y r
giggs	c I k s
gigt	c I x t
gigtarfélag	c I x t a r_0 f j E l a G
gigtarfélagið	c I x t a r_0 f j E l ai j I D
gigtarlínan	c I x t a r l i n a n
gigtarsjúkdóma	c I x t a r_0 s j u k t ou m a
gigtarsjúkdómum	c I x t a r_0 s j u k t ou m Y m
gigtarsjúklingum	c I x t a r_0 s j u h k l i N k Y m
gigtsjúkdóma	c I x t s j u k t ou m a
gikkinn	c I h c I n
gil	c I: l
gilbert	c I l p E r_0 t
gild	c I l t
gilda	c I l t a
gildandi	c I l t a n t I
gildi	c I l t I
gildir	c I l t I r
gildistöku	c I l t I s t_h 9 k Y
gildum	c I l t Y m
gildur	c I l t Y r
gilhagi	c I l h ai j I
gilitrutt	c I: l I t_h r Y h t
gilt	c I l_0 t
gilti	c I l_0 t I
giltu	c I l_0 t Y
gimsteinn	c I m s t ei t n_0
ginnungagap	c I n u N k a k a p
girt	c I r_0 t
girða	c I r D a
girðing	c I r D i N k
girðingunni	c I r D i N k Y n I
giska	c I s k a
gissur	c I s Y r
gissurardóttur	c I s Y r a r t ou h t Y r
gissurarson	c I s Y r a r_0 s O n
gista	c I s t a
gisti	c I s t I
gistihús	c I s t I h u s
gistinefndin	c I s t I n E m t I n
gisting	c I s t i N k
gistingu	c I s t i N k Y
gististað	c I s t I s t a D
gizurarson	c I: s Y r a r_0 s O n
gjafir	c a: v I r
gjafirnar	c a: v I r t n a r
gjaforð	c a: v O r D
gjafvaxta	c a v a k s t a
gjald	c a l t
gjalda	c a l t a
gjaldahlið	c a l t a l_0 I D
gjalddögum	c a l t 9 G Y m
gjaldeyri	c a l t ei r I
gjaldeyristekjunum	c a l t ei r I s t_h E c O n Y m
gjaldheimtur	c a l t h ei m_0 t Y r
gjaldi	c a l t I
gjaldið	c a l t I D
gjaldkera	c a l t c_h E r a
gjaldkeri	c a l t c_h E r I
gjaldmiðil	c a l t m I D I l
gjaldmiðill	c a l t m I D I t l_0
gjaldmiðla	c a l t m I D l a
gjaldmiðli	c a l t m I D l I
gjaldmiðlum	c a l t m I D l Y m
gjaldskrá	c a l t s k r au
gjaldskrár	c a l t s k r au r
gjaldtöku	c a l t_h 9 k Y
gjaldþrot	c a l t T r O t
gjaldþrotaskipta	c a l t T r O t a s c I f t a
gjaldþroti	c a l t T r O t I
gjammandi	c a m a n t I
gjarn	c a r t n_0
gjarna	c a r t n a
gjarnan	c a r t n a n
gjá	c au:
gjábakkahraun	c au: p a h k a r_0 9i n
gjábakki	c au: p a h c I
gjávaðshylur	c au: v a D s h I l Y r
gjóa	c ou: a
gjóla	c ou: l a
gjöf	c 9: f
gjöfin	c 9: v I n
gjöfina	c 9: v I n a
gjöfinni	c 9: v I n I
gjöful	c 9: v Y l
gjöfull	c 9: v Y t l_0
gjöfunum	c 9: v O n Y m
gjögur	c 9: G Y r
gjöldum	c 9 l t Y m
gjörbreyta	c 9 r p r ei t a
gjörbreytt	c 9 r p r ei h t
gjörgæsludeild	c 9 r c ai s t l Y t ei l t
gjörgæsludeilda	c 9 r c ai s t l Y t ei l t a
gjörgæslunni	c 9 r c ai s t l Y n I
gjörla	c 9 r t l a
gjörn	c 9 r t n_0
gjörning	c 9 r t n i N k
gjörningsbréfi	c 9 r t n i N s p r j E v I
gjörningur	c 9 r t n i N k Y r
gjörsamlega	c 9 r_0 s a m l E G a
gjört	c 9 r_0 t
gjörðist	c 9 r D I s t
gjörólík	c 9: r ou l i k
gjörónýtt	c 9: r ou n i h t
gjúkadóttur	c u: k a t ou h t Y r
gladdist	k l a t I s t
glampa	k l a m_0 p a
glampandi	k l a m_0 p a n t I
glampann	k l a m_0 p a n
glampanum	k l a m_0 p a n Y m
glampar	k l a m_0 p a r
glampaði	k l a m_0 p a D I
glampi	k l a m_0 p I
glampinn	k l a m_0 p I n
glamri	k l a m r I
glansaði	k l a n s a D I
glanshliðina	k l a n s l_0 I D I n a
glanspappír	k l a n s p_h a h p i r
glapræði	k l a: p r ai D I
glas	k l a: s
glasinu	k l a: s I n Y
glata	k l a: t a
glataði	k l a: t a D I
glataðist	k l a: t a D I s t
glatt	k l a h t
glaðar	k l a: D a r
glaðari	k l a: D a r I
glaðlegri	k l a D l E G r I
glaðsinna	k l a D s I n a
glaðst	k l a D s t
glaður	k l a: D Y r
glaðvær	k l a D v ai r
glefsur	k l E f s Y r
gleiður	k l ei: D Y r
glenna	k l E n a
glennti	k l E n_0 t I
gler	k l E: r
gleraugu	k l E: r 9i G Y
glerdyrnar	k l E r t I r t n a r
glerlist	k l E r l I s t
glerskurður	k l E r_0 s k Y r D Y r
glerveggjum	k l E r v E c Y m
glerárkirkja	k l E: r au r c_h I r_0 c a
glettin	k l E h t I n
glettni	k l E h t n I
gleyma	k l ei: m a
gleymdi	k l ei m t I
gleymist	k l ei: m I s t
gleymskunnar	k l ei m s k Y n a r
gleymt	k l ei m_0 t
gleypa	k l ei: p a
gleypt	k l ei f t
gleypti	k l ei f t I
gleði	k l E: D I
gleðidagurinn	k l E: D I t a G Y r I n
gleðigjafi	k l E: D I c a v I
gleðigúmmí	k l E: D I k u m i
gleðileg	k l E: D I l E G
gleðilegra	k l E: D I l E G r a
gleðilegt	k l E: D I l E x t
gleðin	k l E: D I n
gleðisnauður	k l E: D I s t n 9i D Y r
gleðisveit	k l E: D I s v ei t
gleðisveitanna	k l E: D I s v ei t a n a
gleðja	k l E D j a
gleðjast	k l E D j a s t
glimmer	k l I m E r
glit	k l I: t
glitni	k l I h t n I
glitra	k l I: t r a
glitrandi	k l I: t r a n t I
glitrar	k l I: t r a r
glitraði	k l I: t r a D I
glitruðu	k l I: t r Y D Y
glitta	k l I h t a
gljámistill	k l j au: m I s t I t l_0
gljáðu	k l j au: D Y
gljúfur	k l j u: v Y r
global	k l ou: p a l
glott	k l O h t
glottandi	k l O h t a n t I
glotti	k l O h t I
glugga	k l Y k a
gluggakistu	k l Y k a c_h I s t Y
gluggakistuna	k l Y k a c_h I s t Y n a
gluggalaus	k l Y k a l 9i s
gluggalausri	k l Y k a l 9i s r I
gluggana	k l Y k a n a
gluggann	k l Y k a n
glugganna	k l Y k a n a
glugganum	k l Y k a n Y m
gluggapóstinn	k l Y k a p_h ou s t I n
gluggarúðurnar	k l Y k a r u D Y r t n a r
gluggasláttur	k l Y k a s t l au h t Y r
gluggatjaldanna	k l Y k a t_h j a l t a n a
gluggatjöld	k l Y k a t_h j 9 l t
gluggatjöldin	k l Y k a t_h j 9 l t I n
gluggatjöldum	k l Y k a t_h j 9 l t Y m
gluggatjöldunum	k l Y k a t_h j 9 l t Y n Y m
gluggi	k l Y c I
glugginn	k l Y c I n
gluggum	k l Y k Y m
glundur	k l Y n t Y r
glymur	k l I: m Y r
glápa	k l au: p a
glápir	k l au: p I r
gláptu	k l au f t Y
glæpa	k l ai: p a
glæpamaður	k l ai: p a m a D Y r
glæpamönnum	k l ai: p a m 9 n Y m
glæpastarfsemi	k l ai: p a s t a r v s E m I
glæpir	k l ai: p I r
glæpsamlegt	k l ai p s a m l E x t
glæpur	k l ai: p Y r
glær	k l ai: r
glæra	k l ai: r a
glæsileg	k l ai: s I l E G
glæsilega	k l ai: s I l E G a
glæsilegir	k l ai: s I l ei j I r
glæsilegt	k l ai: s I l E x t
glæsilegu	k l ai: s I l E G Y
glæsilegur	k l ai: s I l E G Y r
glæsimenni	k l ai: s I m E n I
glæta	k l ai: t a
glæða	k l ai: D a
glíma	k l i: m a
glímt	k l i m_0 t
gló	k l ou:
glódís	k l ou: t i s
glóð	k l ou: D
glóðarauga	k l ou: D a r 9i G a
glögg	k l 9 k
glögglega	k l 9 k l E G a
glöggskyggn	k l 9 k s c I k n_0
glöggva	k l 9 k v a
glöggvunar	k l 9 k v Y n a r
glömpuðu	k l 9 m_0 p Y D Y
glösin	k l 9: s I n
glötun	k l 9: t Y n
glötuð	k l 9: t Y D
gnarr	k n a r
gná	k n au:
gnæfði	k n ai v D I
gnægð	k n ai G D
gnístan	k n i s t a n
gnótt	k n ou h t
gogga	k O k a
goggi	k O c I
gogginum	k O c I n Y m
goggur	k O k Y r
goggurinn	k O k Y r I n
golden	k ou l t E n
goldið	k O l t I D
golf	k O l f
golfhringir	k O l f r_0 i J c I r
golfinu	k O l v I n Y
golfkennari	k O l f c_h E n a r I
golfklúbbi	k O l f k_h l u p I
golfklúbbnum	k O l f k_h l u p n Y m
golfklúbbur	k O l f k_h l u p Y r
golfspilakassi	k O l f s p I l a k_h a s I
golfviðburður	k O l v I D p Y r D Y r
golfvöll	k O l v 9 t l_0
golfvöllinn	k O l v 9 t l I n
golfvöllur	k O l v 9 t l Y r
goltreyja	k O l t_h r ei j a
good	k u t
gordon	k O r t O n
gormur	k O r m Y r
gormælt	k O r m ai l_0 t
gorta	k O r_0 t a
gos	k O: s
gosbeltinu	k O s p E l_0 t I n Y
gosbrunnur	k O s p r Y n Y r
gosdrykk	k O s t r I h k
gosi	k O: s I
gosið	k O: s I D
gosstöðin	k O: s t 9 D I n
gott	k O h t
gottskálk	k O h t s k au l_0 k
gottskálksson	k O h t s k au l_0 k s O n
gottskálkssyni	k O h t s k au l_0 k s I n I
goðafræði	k O: D a f r ai D I
grafa	k r a: v a
grafalvarlegt	k r a: v a l v a r l E x t
grafalvarlegur	k r a: v a l v a r l E G Y r
grafar	k r a: v a r
grafarholtinu	k r a: v a r_0 h O l_0 t I n Y
grafarholts	k r a: v a r h O l_0 t s
grafarinnar	k r a: v a r I n a r
grafartektin	k r a: v a r_0 t_h E x t I n
grafarvog	k r a: v a r v O G
grafarvogi	k r a: v a r v Oi j I
grafarvogs	k r a: v a r v O x s
grafarvogskirkja	k r a: v a r v O x s c_h I r_0 c a
grafarþögn	k r a: v a r T 9 k n_0
grafast	k r a: v a s t
grafið	k r a: v I D
grafkyrr	k r a f c_h I r
grafkyrrir	k r a f c_h I r I r
grafreitnum	k r a v r ei h t n Y m
grafskrift	k r a f s k r I f t
grafíkmöppum	k r a: f i k m 9 h p Y m
grafíska	k r a: f i s k a
graham	k r ei: a m
grallari	k r a t l a r I
gramm	k r a m
gramma	k r a m a
grammófón	k r a m ou f ou n
gramt	k r a m_0 t
granatepli	k r a: n a t E h p l I
grand	k r a n t
granda	k r a n t a
grandavegi	k r a n t a v ei j I
grandskoðaði	k r a n t s k O D a D I
granna	k r a n a
grannt	k r a n_0 t
grannvaxin	k r a n v a k s I n
grant	k r a n_0 t
graníti	k r a: n i t I
gras	k r a: s
grasdokkir	k r a: s t O h c I r
grasi	k r a: s I
grasigróin	k r a: s I k r ou I n
graskersættinni	k r a s c E r_0 s ai h t I n I
graskinn	k r a s c_h I n
graslendi	k r a s t l E n t I
grasrótarmenningu	k r a: s r ou t a r m E n i N k Y
grass	k r a s
grautnum	k r 9i h t n Y m
grautur	k r 9i: t Y r
gredda	k r E t a
greftrunar	k r E f t r Y n a r
greidd	k r ei t
greiddan	k r ei t a n
greiddar	k r ei t a r
greiddir	k r ei t I r
greiddist	k r ei t I s t
greiddu	k r ei t Y
greiddur	k r ei t Y r
greifans	k r ei: v a n s
greifingi	k r ei: v i J c I
greifinn	k r ei: v I n
greikkaði	k r ei h k a D I
grein	k r ei: n
greina	k r ei: n a
greinanna	k r ei: n a n a
greinar	k r ei: n a r
greinargerð	k r ei: n a r c E r D
greinargerðinni	k r ei: n a r_0 c E r D I n I
greinarmun	k r ei: n a r m Y n
greinarstúfsins	k r ei: n a r_0 s t u f s I n s
greind	k r ei n t
greindarlegt	k r ei n t a r l E x t
greindi	k r ei n t I
greindist	k r ei n t I s t
greindu	k r ei n t Y
greini	k r ei: n I
greinilega	k r ei: n I l E G a
greinilegar	k r ei: n I l E G a r
greinin	k r ei: n I n
greining	k r ei: n i N k
greiningar	k r ei: n i N k a r
greiningardeild	k r ei: n i N k a r t ei l t
greininni	k r ei: n I n I
greinir	k r ei: n I r
greinst	k r ei n s t
greint	k r ei n_0 t
greinum	k r ei: n Y m
greip	k r ei: p
greiða	k r ei: D a
greiðast	k r ei: D a s t
greiði	k r ei: D I
greiðir	k r ei: D I r
greiðist	k r ei: D I s t
greiðsla	k r ei D s t l a
greiðslan	k r ei D s t l a n
greiðslna	k r ei D s t l n a
greiðslu	k r ei D s t l Y
greiðsluaðlögun	k r ei D s t l Y a D l 9 G Y n
greiðslubyrði	k r ei D s t l Y p I r D I
greiðsludags	k r ei D s t l Y t a x s
greiðslukort	k r ei D s t l Y k_h O r_0 t
greiðslumark	k r ei D s t l Y m a r_0 k
greiðslumati	k r ei D s t l Y m a t I
greiðslumatið	k r ei D s t l Y m a t I D
greiðslumatsskýrslu	k r ei D s t l Y m a t s c i r_0 s t l Y
greiðslur	k r ei D s t l Y r
greiðslurnar	k r ei D s t l Y r t n a r
greiðsluseðill	k r ei D s t l Y s E D I t l_0
greiðvikinn	k r ei D v I c I n
greni	k r E: n I
grenja	k r E n j a
grenjaðarstað	k r E n j a D a r_0 s t a D
grennd	k r E n t
grennslast	k r E n s t l a s t
grensáskirkja	k r E n s au s c_h I r_0 c a
grensásveg	k r E n s au s v E G
grensásvegi	k r E n s au s v ei j I
greta	k r E: t a
grey	k r ei:
greypt	k r ei f t
greyptra	k r ei f t r a
gribba	k r I p a
grikki	k r I h c I
grikkir	k r I h c I r
grikkirnir	k r I h c I r t n I r
grikkja	k r I h c a
grikkjanna	k r I h c a n a
grikkland	k r I h k l a n t
grikklandi	k r I h k l a n t I
grill	k r I l
grillaðar	k r I l a D a r
grillinu	k r I l I n Y
grillir	k r I t l I r
grillostur	k r I l O s t Y r
grillur	k r I t l Y r
grimm	k r I m
grimma	k r I m a
grimmd	k r I m t
grimmdar	k r I m t a r
grimmt	k r I m_0 t
grimmu	k r I m Y
grimmum	k r I m Y m
grimmur	k r I m Y r
grind	k r I n t
grindavík	k r I n t a v i k
grindavíkurvelli	k r I n t a v i k Y r v E t l I
grindvíkingar	k r I n t v i c i N k a r
gripakofinn	k r I: p a k_h O v I n
gripið	k r I: p I D
gripnir	k r I h p n I r
gripur	k r I: p Y r
grisju	k r I: s j Y
